#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1071_length_243_cov_0.867470	1	243	+	chuX	150-392/495	....========...	0/0	49.09	97.94	vfdb	WP_000020034	(chuX) putative heme-binding protein ChuX [Chu (VF0227) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_1093_length_241_cov_0.902439	42	239	+	vfr	403-600/645	.........=====.	0/0	30.70	76.26	vfdb	NP_249343	(vfr) cAMP-regulatory protein [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	2601	2850	+	tagP	10-259/264	===============	0/0	94.70	73.20	vfdb	WP_077064457	(tagP) PAAR domain-containing protein [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	5130	7384	+	tssM2	763-3017/3069	...=====/======	6/16	73.22	74.37	vfdb	WP_374206935	(tssM2) type VI secretion system protein ImpL [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	8652	9530	+	tssA2	739-1617/1617	......==/======	6/16	53.87	69.90	vfdb	WP_077064460	(tssA2) type VI secretion system protein TssA [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	9564	11333	+	tssF2	1-1770/1770	========/======	4/4	99.89	79.34	vfdb	WP_077064461	(tssF2) type VI secretion system baseplate subunit TssF [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	11304	12265	+	tssG2	8-969/1080	========/=====.	10/26	87.87	70.56	vfdb	WP_077064462	(tssG2) type VI secretion system baseplate subunit TssG [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	12470	12935	+	tssJ2	61-526/528	.==============	0/0	88.26	72.96	vfdb	WP_077064463	(tssJ2) type VI secretion system lipoprotein TssJ [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_10_length_155409_cov_26.913527	120258	120908	-	rcsB	1-651/651	===============	0/0	100.00	99.85	vfdb	WP_002913007	(rcsB) transcriptional regulator RcsB [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_117_length_1291_cov_41.161450	1	758	-	vipB/tssC	1-758/1545	========.......	0/0	49.06	99.74	vfdb	WP_014907727	(vipB/tssC) type VI secretion system contractile sheath large subunit VipB [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_117_length_1291_cov_41.161450	801	1291	-	vipA/tssB	2-492/492	===============	0/0	99.80	99.39	vfdb	WP_004176434	(vipA/tssB) type VI secretion system contractile sheath small subunit VipA [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_11_length_152350_cov_28.868920	15866	16495	-	fleR	451-1080/1422	....====/===...	16/30	43.25	66.82	vfdb	NP_249790	(fleR) two-component response regulator [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_11_length_152350_cov_28.868920	41607	42109	+	flrA	435-937/1422	....====/==....	6/12	34.95	70.33	vfdb	WP_017409846	(flrA) FleQ protein [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas hydrophila ML09-119]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_11_length_152350_cov_28.868920	64229	65034	+	chuS	175-992/1029	..======/======	14/58	76.09	66.11	vfdb	WP_001017192	(chuS) heme oxygenase ChuS [Chu (VF0227) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_11_length_152350_cov_28.868920	67932	68239	+	hcp2	1-308/492	========/=.....	4/8	61.79	69.87	vfdb	WP_032643420	(hcp2) type VI secretion system protein Hcp [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_11_length_152350_cov_28.868920	78130	79121	-	rpoS	2-993/993	========/======	2/2	99.80	86.81	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_11_length_152350_cov_28.868920	134121	134762	+	PA2359	112-753/1086	.=======/==....	6/16	58.38	68.77	vfdb	NP_251049	(PA2359) transcriptional regulator [HSI-3 (VF0944) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_127_length_1037_cov_80.058333	14	1037	+	tufA	119-1142/1185	.=======/======	4/6	86.16	72.15	vfdb	WP_003028672	(tufA) elongation factor Tu [EF-Tu (VF0460) - Adherence (VFC0001)] [Francisella tularensis subsp. tularensis SCHU S4]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_12_length_146396_cov_25.893151	76494	77564	+	ompA	1-1041/1041	========/======	2/30	100.00	83.66	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236) - Invasion (VFC0083)] [Escherichia coli O18:K1:H7 str. RS218]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_12_length_146396_cov_25.893151	123605	124326	-	nueA	1-734/762	========/======	9/20	94.23	70.60	vfdb	WP_016351249	(nueA) NeuA protein [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas hydrophila ML09-119]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_13_length_146356_cov_31.836655	44678	45592	+	rfaD	1-912/927	========/======	6/9	98.06	69.50	vfdb	WP_005632797	(rfaD) ADP-L-glycero-D-mannoheptose-6-epimerase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae Rd KW20]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_13_length_146356_cov_31.836655	45620	46516	+	waaF	1-879/1038	========/====..	20/54	82.95	65.79	vfdb	NP_253699	(waaF) heptosyltransferase I [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_13_length_146356_cov_31.836655	46682	47553	+	waaC	1-869/1068	========/====..	15/33	79.96	66.63	vfdb	NP_253698	(waaC) 3-deoxy-D-manno-octulosonic-acid (KDO) transferase [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_13_length_146356_cov_31.836655	56370	57366	+	waaA	42-1041/1278	========/====..	25/51	76.13	65.14	vfdb	NP_253675	(waaA) lipopolysaccharide core biosynthesis protein WaaP [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_13_length_146356_cov_31.836655	125332	128376	+	acrB	21-3083/3147	========/======	62/116	95.20	66.61	vfdb	WP_002892069	(acrB) acriflavine resistance protein B [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569679/contigs.fasta	NODE_14_length_141848_cov_26.562181	16615	17130	-	CBU_1566	1-519/735	========/==....	5/11	69.66	67.30	vfdb	NP_820549	(CBU_1566) Coxiella Dot/Icm type IVB secretion system translocated effector  [T4SS secreted effectors (VF0696) - Effector delivery system (VFC0086)] [Coxiella burnetii RSA 493]	
